ShortIndustry,Industry,IssuedbyOrganization,Issued for Organization,Title,Tender No,ProcurementMethod,Issued Date,Amendments,ClosingDate,SuccessfulVendor,SuccessfulVendorCity,AwardTotal,DateAwarded,Province,Country,IssuedYr,ClosingYr,AwardedYr,IssuedMon,ClosingMon,AwardedMon
GovLAW,Government and Law,Procurement Services Branch,Ministry of Public Safety and Solicitor General,Motorola HT750 UHF Radio's - BC Corrections,ITQ-003481,Itq,2012-01-09,1,2012-01-11,Go Wireless Inc,Vancouver,"$117,626.01",2012-01-16,British Columbia,Canada,2012,2012,2012,1,1,1
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,Supply and Deliver: 3 Submersible Propeller Pumps - REQUOTE,ITQ-003473R,Itq,2012-01-05,0,2012-01-13,KSB Pumps Inc.,Mississauga,"$270,816.00",2012-01-17,Ontario,Canada,2012,2012,2012,1,1,1
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Environment,**RE-QUOTE** RUGGED LAPTOP MOUNTING SYSTEM COMPONENTS - Victoria,ITQ-003482R,Itq,2012-01-09,0,2012-01-17,RadioWorks Communications Inc,Victoria,"$7,470.40",2012-01-17,British Columbia,Canada,2012,2012,2012,1,1,1
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,Polycom Video Conference Equipment,ITQ-003494,Itq,2012-01-12,1,2012-01-18,341234 BC Ltd,Saanichton,"$13,620.72",2012-01-18,British Columbia,Canada,2012,2012,2012,1,1,1
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations",One Steel Girder/Concrete Deck Bridge,ITQ-003492,Itq,2012-01-12,1,2012-01-18,Pioneer Precast Products A Div of IOTA Construction Ltd,Chilliwack,"$74,782.40",2012-01-19,British Columbia,Canada,2012,2012,2012,1,1,1
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Crushed Aggregate in Stockpile Tuc UL Nuit Pit No. 0479,23237MJ0003,MOTITT,2012-01-05,1,2012-01-13,Cantex-Okanagan Construction Ltd,Penticton,"$175,975.00",2012-01-20,British Columbia,Canada,2012,2012,2012,1,1,1
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,Three Electrical Kiosks - Delta BC,ITQ-003490,Itq,2012-01-11,2,2012-01-18,Allied Controls Ltd,Burnaby,"$223,361.60",2012-01-24,British Columbia,Canada,2012,2012,2012,1,1,1
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations",Chain Link Fencing & Installation for Spotted Owl Aviaries,ITQ-003497,Itq,2012-01-13,0,2012-01-20,Rite-Way Fencing 1999 Inc.,Abbotsford,"$73,360.00",2012-01-24,British Columbia,Canada,2012,2012,2012,1,1,1
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Demolition of three (3) residential buildings,03901MN0010,MOTITT,2011-12-30,2,2012-01-06,Hans Demolition & Excavating Ltd.,Surrey,"$99,465.75",2012-01-25,British Columbia,Canada,2011,2012,2012,12,1,1
COSRV,"Education, Social, and Community Services",Procurement Services Branch,"Ministry of Technology, Innovation and Citizens' Services",Ignite for Oracle Site License & Support,ITQ-003496,Itq,2012-01-12,0,2012-01-20,Confio Corporation,Boulder,"$66,701.00",2012-01-25,Colorado,USA,2012,2012,2012,1,1,1
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Bridge Deck Replacement,12320MJ0001,MOTITT,2012-01-09,1,2012-01-13,H.R.C. Construction Inc.,Aldergrove,"$519,895.00",2012-01-26,British Columbia,Canada,2012,2012,2012,1,1,1
COSRV,"Education, Social, and Community Services",Procurement Services Branch,"Ministry of Technology, Innovation and Citizens' Services",Refurbished Nortel Telephone Sets - Victoria,ITQ-003498,Itq,2012-01-17,0,2012-01-25,Call One Inc,Cape Canaveral,"$7,995.00",2012-01-26,Florida,USA,2012,2012,2012,1,1,1
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",SP12845-027 Mechanical Site Preparation,SP12845-027,ITT,2011-12-20,0,2012-01-11,Ernie Klassen DBA Black Jack Logging Ltd.,Prince George,"$34,473.60",2012-01-27,British Columbia,Canada,2011,2012,2012,12,1,1
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,Sluice/Flap Gates  - Delta BC,ITQ-003493,Itq,2012-01-19,2,2012-01-24,Norpac Controls Ltd.,Burnaby,"$230,196.96",2012-01-30,British Columbia,Canada,2012,2012,2012,1,1,1
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Resurfacing Hwy 5 Helmer Median Cross Over to Meadow Crk,23281MJ0000,MOTITT,2012-01-24,2,2012-01-25,Peter&#039;s Bros. Construction Ltd.,Penticton,"$4,414,221.00",2012-01-30,British Columbia,Canada,2012,2012,2012,1,1,1
COSRV,"Education, Social, and Community Services",Procurement Services Branch,"Ministry of Technology, Innovation and Citizens' Services",Various Law Court Furniture Seating (Lobby Seating),ITQ-003501,Itq,2012-01-23,1,2012-01-26,Jordans Interiors Ltd.,Burnaby,"$42,414.40",2012-01-31,British Columbia,Canada,2012,2012,2012,1,1,1
COSRV,"Education, Social, and Community Services",Procurement Services Branch,"Ministry of Technology, Innovation and Citizens' Services",Various Law Court Furniture Seating (Lobby Seating),ITQ-003501,Itq,2012-01-23,1,2012-01-26,Heritage Office Furnishings Ltd,Vancouver,"$13,896.96",2012-01-31,British Columbia,Canada,2012,2012,2012,1,1,1
COSRV,"Education, Social, and Community Services",Procurement Services Branch,"Ministry of Technology, Innovation and Citizens' Services",Various Law Court Furniture Seating (Lobby Seating),ITQ-003501,Itq,2012-01-23,1,2012-01-26,Gunnar Pacific Agencies Inc,Vancouver,"$35,481.60",2012-01-31,British Columbia,Canada,2012,2012,2012,1,1,1
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hwy 1 McCallum Interchange Noise Barrier - Jackson Street,12404MJ0001,MOTITT,2012-01-12,0,2012-01-26,Strohmaier&#039;s Excavating Ltd.,Chilliwack,"$355,380.00",2012-02-01,British Columbia,Canada,2012,2012,2012,1,1,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Install Fraser Valley CMS at 4 locations,12372MJ0000,MOTITT,2012-01-16,2,2012-01-25,Fraser City Installations (1989) Ltd,Abbotsford,"$516,974.00",2012-02-01,British Columbia,Canada,2012,2012,2012,1,1,2
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,GEC Portable Truck Scales - Terrace,ITQ-003502,Itq,2012-01-19,0,2012-01-27,Pacific Industrial Scale Co Ltd,Richmond,"$11,088.00",2012-02-01,British Columbia,Canada,2012,2012,2012,1,1,2
COSRV,"Education, Social, and Community Services",Procurement Services Branch,"Ministry of Technology, Innovation and Citizens' Services",IBM Rational System Architect Support Renewal,ITQ-003503,Itq,2012-01-23,0,2012-01-31,AniSoft Group Inc,White Rock,"$19,800.37",2012-02-01,British Columbia,Canada,2012,2012,2012,1,1,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hwy 1 Colwood O/P North Struc No. 1403N Jacking & Pier Rehab,16412MJ2012,MOTITT,2012-02-10,1,2012-02-21,BG Macdonald Services Ltd.,Kelowna,"$409,501.00",2012-02-01,British Columbia,Canada,2012,2012,2012,2,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hot-In-Place Recycling Tobiano to Highway No. 5 Junction,23277MJ0000,MOTITT,2011-12-29,0,2012-01-31,Green Roads Recycling Ltd,Fernie,"$2,659,623.75",2012-02-02,British Columbia,Canada,2011,2012,2012,12,1,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Crushed Aggregate in Stockpile Big Creek Pit No. 1909,22615MN0002,MOTITT,2012-01-18,0,2012-02-02,PETERSON CONTRACTING LTD,Williams Lake,"$105,960.00",2012-02-06,British Columbia,Canada,2012,2012,2012,1,2,2
COSRV,"Education, Social, and Community Services",Procurement Services Branch,"Ministry of Technology, Innovation and Citizens' Services",Refurbished telephone sets Nortel M9316,ITQ-003504,Itq,2012-01-24,0,2012-02-01,Insync Network Solutions,Scarborough,"$38,640.00",2012-02-06,Ontario,Canada,2012,2012,2012,1,2,2
GovLAW,Government and Law,Procurement Services Branch,Ministry of Public Safety and Solicitor General,Safety Shelf,ITQ-003505,Itq,2012-01-31,1,2012-02-01,Correct Solutions Inc,Vancouver,"$12,163.76",2012-02-06,British Columbia,Canada,2012,2012,2012,1,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,"Supply to Stockpile: 300,000 m3 Granular Material - Surrey",ITQ-003506,Itq,2012-01-24,0,2012-02-01,Fraser River Pile & Dredge (GP) Inc,New Westminster,"$2,445,000.00",2012-02-07,British Columbia,Canada,2012,2012,2012,1,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,Two Steel Shipping Containers (Dease Lake),ITQ-003511,Itq,2012-01-30,1,2012-02-03,Big Dog Containers Inc,Port Coquitlam,"$13,328.00",2012-02-07,British Columbia,Canada,2012,2012,2012,1,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations",General Dynamics C4 System - R8000A (Nanaimo BC),ITQ-003507,Itq,2012-01-30,1,2012-02-01,"Navair Technologies, Inc",Mississauga,"$83,143.20",2012-02-07,Ontario,Canada,2012,2012,2012,1,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Surfacing Hwy 97C Brenda Mine Rd to Pennask Creek Bridge,23274MJ0000,MOTITT,2012-01-11,1,2012-01-18,Emil Anderson Construction (EAC) Inc,Kelowna,"$4,184,914.00",2012-02-08,British Columbia,Canada,2012,2012,2012,1,1,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt surfacing Hwy 97C and Cornwall Road in Ashcroft Area,23273MJ0000,MOTITT,2012-01-17,1,2012-02-02,Dawson Construction Limited,Kamloops,"$2,682,290.49",2012-02-08,British Columbia,Canada,2012,2012,2012,1,2,2
GovLAW,Government and Law,Procurement Services Branch,Ministry of Public Safety and Solicitor General,Tractor - Nanaimo BC,ITQ-003512,Itq,2012-01-26,0,2012-02-06,Prairie Coast Equipment Ltd,Duncan,"$52,958.20",2012-02-08,British Columbia,Canada,2012,2012,2012,1,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Hot-In-Place Recycling, Highway 33 Beaverdell Area",23268MJ0000,MOTITT,2012-01-11,0,2012-02-07,Peter&#039;s Bros. Construction Ltd.,Penticton,"$1,841,221.00",2012-02-09,British Columbia,Canada,2012,2012,2012,1,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Old Kootenay Channel Bridge No. 1488 Rehabilitation,23046MJ0000,MOTITT,2012-01-24,1,2012-02-01,Seismic 2000 Construction Ltd.,Aldergrove,"$1,697,540.00",2012-02-09,British Columbia,Canada,2012,2012,2012,1,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Environment,"Two ATV's, One Ski-Doo (Smithers BC)",ITQ-003509,Itq,2012-01-25,0,2012-02-02,Spectra Power Sports Ltd,Williams Lake,"$18,636.80",2012-02-09,British Columbia,Canada,2012,2012,2012,1,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,SPCSP Box Culvert (Grand Forks),ITQ-003521,Itq,2012-02-01,0,2012-02-09,Armtec Infrastructure Inc.,Richmond,"$73,335.86",2012-02-10,British Columbia,Canada,2012,2012,2012,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Environment,Fire Rings,ITQ-003516,Itq,2012-02-02,1,2012-02-07,Calta Welding,Penticton,"$9,647.08",2012-02-10,British Columbia,Canada,2012,2012,2012,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations",Forest Fire Perc Hose - Chilliwack BC,ITQ-003485,Itq,2011-12-29,1,2012-01-06,Wildfire Environmental Inc.,Abbotsford,"$525,336.00",2012-02-13,British Columbia,Canada,2011,2012,2012,12,1,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Crushed Aggregate in Stockpile Mahood Lake Pit No. 2782,23298MN0000,MOTITT,2012-01-19,0,2012-02-07,Barsi Enterprises Ltd,Kamloops,"$106,100.00",2012-02-13,British Columbia,Canada,2012,2012,2012,1,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Environment,"Two ATV's, One Ski-Doo (Smithers BC)",ITQ-003509,Itq,2012-01-25,0,2012-02-02,Courtenay Motorsport,Courtenay,"$12,880.00",2012-02-13,British Columbia,Canada,2012,2012,2012,1,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Environment,Picnic Table - Type 2.0,ITQ-003517,Itq,2012-02-03,4,2012-02-07,G. Eppel Construction Ltd.,Sorrento,"$38,271.59",2012-02-13,British Columbia,Canada,2012,2012,2012,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations","FY12 - The Ministry of Forests, Lands and NRO, Wildfire Manageme",ITQ-003499R,Itq,2012-02-08,0,2012-02-10,Tufport Industries Ltd,Delta,"$216,795.19",2012-02-13,British Columbia,Canada,2012,2012,2012,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Environment,Boat Trailer (Williams Lake),ITQ-003525,Itq,2012-02-02,0,2012-02-10,Exeter Forest & Marine Sales Ltd.,100 Mile House,"$6,693.12",2012-02-14,British Columbia,Canada,2012,2012,2012,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Environment,Generators - 1000 Watt,ITQ-003527,Itq,2012-02-02,0,2012-02-13,Arrow Equipment Ltd.,North Vancouver,"$7,831.04",2012-02-15,British Columbia,Canada,2012,2012,2012,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations",Two Heavy Duty Snowmobiles  - Kamloops,ITQ-003508R,Itq,2012-02-07,0,2012-02-14,Ross & Terry's Equipment Ltd,Kamloops,"$19,754.56",2012-02-15,British Columbia,Canada,2012,2012,2012,2,2,2
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations","Bridge Design, Supply & Install: Kootenay-Palliser FSR, N2-089A",EN13474-001,ITT,2012-02-10,4,2012-02-15,Iota Construction Ltd,Chilliwack,"$532,000.00",2012-02-15,British Columbia,Canada,2012,2012,2012,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations",RST100 Beam RemoteSat Kit (Victoria),ITQ-003528,Itq,2012-02-06,0,2012-02-14,Chroma Communications Group Inc.,Coquitlam,"$21,584.64",2012-02-16,British Columbia,Canada,2012,2012,2012,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Environment,100 Type 1 Concrete Picnic Table Bases - Lakelse Lake,ITQ-003529,Itq,2012-02-06,0,2012-02-15,Ken MacKay & Son Concrete Forming Ltd,Nanaimo,"$89,264.00",2012-02-16,British Columbia,Canada,2012,2012,2012,2,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Gravel Pit Entry Gate Construction and Delivery,11403-0035,MSO,2012-02-02,1,2012-02-09,North Arm Machine Ltd.,Coquitlam,"$21,500.00",2012-02-17,British Columbia,Canada,2012,2012,2012,2,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Supply manufactured aggregates in stockpile.,36706MJ0001,MOTITT,2012-02-07,4,2012-02-14,OKANAGAN AGGREGATES LTD.,Armstrong,"$316,965.00",2012-02-17,British Columbia,Canada,2012,2012,2012,2,2,2
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations","Asphalt Paving Development, Surrey BC",4443,ITT,2012-02-08,4,2012-02-15,KeyWest Asphalt Ltd,Surrey,"$35,665.00",2012-02-17,British Columbia,Canada,2012,2012,2012,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations","Firefighting Equipment: Chainsaws, Brushsaws, Pruners, Loppers",ITQ-003518,Itq,2012-02-02,1,2012-02-08,Cascade Supply & Marine Ltd,Chilliwack,"$86,714.63",2012-02-20,British Columbia,Canada,2012,2012,2012,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations","Firefighting Equipment: Chainsaws, Brushsaws, Pruners, Loppers",ITQ-003518,Itq,2012-02-02,1,2012-02-08,Fraser Valley Equipment Ltd,Surrey,"$1,943.76",2012-02-20,British Columbia,Canada,2012,2012,2012,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations","Firefighting Equipment: Chainsaws, Brushsaws, Pruners, Loppers",ITQ-003518,Itq,2012-02-02,1,2012-02-08,Northwest Mower & Supply,Richmond,"$2,155.38",2012-02-20,British Columbia,Canada,2012,2012,2012,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations",Non-Treated Timber Bridge Materials (4 Locations),ITQ-003533,Itq,2012-02-07,0,2012-02-15,Welco Lumber Corp,Burnaby,"$62,113.78",2012-02-20,British Columbia,Canada,2012,2012,2012,2,2,2
COSRV,"Education, Social, and Community Services",Procurement Services Branch,"Ministry of Technology, Innovation and Citizens' Services",IBM Proventia Network Products (Victoria),ITQ-003535,Itq,2012-02-08,0,2012-02-16,Integrity-Paahi Solutions Inc.,Vancouver,"$50,762.33",2012-02-20,British Columbia,Canada,2012,2012,2012,2,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Hot-In-Place Recycling, Hwy 1 Revelstoke Area and Hwy 23N",23276MJ0000,MOTITT,2012-01-26,0,2012-02-15,Peter&#039;s Bros. Construction Ltd.,Penticton,"$3,725,221.00",2012-02-21,British Columbia,Canada,2012,2012,2012,1,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations",Treated Timber Bridge Material (Chilliwack & Squamish),ITQ-003531,Itq,2012-02-07,0,2012-02-15,Welco Lumber Corp,Burnaby,"$56,609.28",2012-02-21,British Columbia,Canada,2012,2012,2012,2,2,2
GovLAW,Government and Law,Procurement Services Branch,Ministry of Justice (Attorney General),Cisco EX60 TelePresence System,ITQ-003534,Itq,2012-02-07,0,2012-02-16,Acrodex Inc.,Delta,"$8,634.35",2012-02-21,British Columbia,Canada,2012,2012,2012,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations",Non-Treated Timber Bridge Material (Haida Gwaii),ITQ-003532,Itq,2012-02-07,0,2012-02-15,EagleCrest Enterprises Ltd.,Port Clements,"$13,260.80",2012-02-21,British Columbia,Canada,2012,2012,2012,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,"Ministry of Forests, Lands and Natural Resource Operations",20 Treated Bridge Deck Panels,ITQ-003530,Itq,2012-02-08,0,2012-02-16,Surespan Structures Ltd,Duncan,"$98,331.07",2012-02-21,British Columbia,Canada,2012,2012,2012,2,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Rayonier Pit Fencing,11403-0033,ITQ,2012-01-25,0,2012-02-09,Raybern Erectors Ltd.,Port Moody,"$14,558.88",2012-02-22,British Columbia,Canada,2012,2012,2012,1,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Environment,VARIOUS ATTACK TEAM SUPPLIES & EQUIPMENT - Kamloops,ITQ-003539,Itq,2012-02-09,0,2012-02-17,Prototype Integrated Solutions Inc,Milner,"$4,965.63",2012-02-22,British Columbia,Canada,2012,2012,2012,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Environment,VARIOUS ATTACK TEAM SUPPLIES & EQUIPMENT - Kamloops,ITQ-003539,Itq,2012-02-09,0,2012-02-17,R. Nicholls Distributors Inc,Longueuil,"$9,513.28",2012-02-22,Quebec,Canada,2012,2012,2012,2,2,2
COSRV,"Education, Social, and Community Services",Procurement Services Branch,"Ministry of Technology, Innovation and Citizens' Services",Qty 40 Polycom EX (Victoria),ITQ-003541,Itq,2012-02-10,0,2012-02-20,Resolve Collaboration Services,Vancouver,"$23,926.78",2012-02-22,British Columbia,Canada,2012,2012,2012,2,2,2
GovLAW,Government and Law,Procurement Services Branch,Ministry of Public Safety and Solicitor General,16 Food Delivery Carts (Victoria),ITQ-003536,Itq,2012-02-15,3,2012-02-17,Correct Solutions Inc,Vancouver,"$52,541.44",2012-02-22,British Columbia,Canada,2012,2012,2012,2,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Asphalt Resurf. Hwy 97, Monte Cr to Hanna Rd & Kamloops Area Rds",23241MJ0000,MOTITT,2012-01-25,1,2012-02-08,Dawson Construction Limited,Kamloops,"$1,594,021.93",2012-02-23,British Columbia,Canada,2012,2012,2012,1,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Crushed Aggregate Supplied in Stockpile at One Island Lake Pit,36844MJ0001,MOTITT,2012-02-07,1,2012-02-21,Vihar Construction Ltd,Smithers,"$378,440.00",2012-02-23,British Columbia,Canada,2012,2012,2012,2,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,14 Cattleguards (4 Locations),ITQ-003543,Itq,2012-02-13,0,2012-02-21,Beamac Installations Ltd,Williams Lake,"$129,863.96",2012-02-23,British Columbia,Canada,2012,2012,2012,2,2,2
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Install CMS at Hwy 3/5 Westbound East of Alexander Creek Bridge,12372MN0013,MOTITT,2012-02-09,0,2012-02-23,Fraser City Installations (1989) Ltd,Abbotsford,"$89,630.00",2012-02-24,British Columbia,Canada,2012,2012,2012,2,2,2
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Environment,Picnic table legs TYPE II (in pairs),ITQ-003546,Itq,2012-02-16,0,2012-02-21,Brady's Iron Works Inc,Ladysmith,"$84,505.68",2012-02-27,British Columbia,Canada,2012,2012,2012,2,2,2
